0   0,0584341224    0,5246449412
1   1,0185260438    1,045211355
3   3,5890344346    3,6509776887
0   0,2186528519    0,212662308
0   0,7766064342    0,0387640032
0   0,3145293883    0,3701038761
3   3,8114471657    3,9499601981
2   2,1837373854    2,8731617475
2   2,8736783622    2,2123769437
2   2,6450253273    2,8879314454
0   0,1237367167    0,4837500389
0   0,4798137687    0,122038574
2   2,5338242721    2,2967035509
1   1,587900445 1,3267397327
0   0,2249000863    0,6241767707
1   1,5238869898    1,913236023
3   3,2238570647    3,7615813622
1   1,7805233669    1,1894470144
1   1,3972738194    1,4004686878
1   1,2685860393    1,1717342603
0   0,1185162081    0,7658297338
0   0,9750530277    0,4138006778
0   0,5161355675    0,0480035041
1   1,8613324966    1,0471760045
1   1,6382028944    1,5445472067
2   2,96789474  2,7707476265
0   0,889569177 0,6134518854
1   1,4550787182    1,7562473989
2   2,9658444366    2,0423927341
2   2,3580323117    2,8605328789
1   1,4921554719    1,9469573844
0   0,7649398038    0,252833972
2   2,4391144656    2,9473576616
3   3,440523229 3,9326162991
2   2,7724494521    2,224017575
2   2,7031136623    2,1327129074
2   2,7408577912    2,0121882215
0   0,7158939978    0,9273760376
3   3,350309791 3,961003078
1   1,3177930086    1,5656375225
2   2,6605009417    2,1474962785
0   0,7548392294    0,0458762284
2   2,3755691227    2,7784619988
1   1,0134824076    1,9784149823
1   1,8537019535    1,623764638
2   2,6417388018    2,2942228419
3   3,7350425576    3,0685126029
1   1,7006315574    1,0911342089
2   2,4838318733    2,5284586123
0   0,3059977463    0,010957516
1   1,5044487485    1,9806680326
0   0,1001324644    0,0638373604
3   3,0137427381    3,1826343962
2   2,6676933108    2,3383596659
1   1,7119264815    1,027556214
3   3,2080199126    3,7484754953
2   2,0357790747    2,801181033
3   3,0380518703    3,2287815812
2   2,7647696762    2,2840196804
3   3,7937581144    3,2566429446
2   2,1003012932    2,6976605185
3   3,0426145749    3,706337265
1   1,8019518285    1,1766607918
1   1,780278388 1,9033795225
2   2,063935179 2,7139671369
0   0,5499340594    0,4901482065
3   3,8447338495    3,3405309489
2   2,4635494579    2,38272077
0   0,2699359142    0,4269972433
3   3,3157422091    3,6937549505
1   1,8558631143    1,351962656
1   1,7217962163    1,8039743321
3   3,1914880884    3,8079567075
0   0,815858664 0,9506127712
0   0,5774574627    0,2367243143
2   2,8339102378    2,0011663775
1   1,2914649987    1,1442065795
3   3,7617754278    3,201876879
1   1,9601462266    1,176398926
1   1,529883293 1,936790364
1   1,2541604789    1,3836749427
0   0,2358948717    0,7085491614
0   0,8650940257    0,0512303738
2   2,800883462 2,7128328096
2   2,8421369524    2,2841143982
2   2,664941645 2,2036284075
1   1,1057909542    1,5303287374
0   0,9332467488    0,085308679
0   0,3593650621    0,689282319
2   2,4414826238    2,9232247444
1   1,1333504456    1,3843019296
3   3,2377582579    3,9204604362
3   3,2472587782    3,1588398008
0   0,6999964678    0,5809586215
3   3,7284331317    3,8308931312
2   2,5017219197    2,3234324103
2   2,4013573773    2,2076547417
3   3,7685550593    3,6793139561
3   3,9835775271    3,1400992101
3   3,6324185446    3,9115526759
1   1,8992783745    1,4854213671
1   1,1745996581    1,4202565849
2   2,153071106 2,0703361532
1   1,4834682147    1,0197526931
1   1,5116679143    1,4938769725
3   3,0247373052    3,840123246
1   1,6212676075    1,7445333889
